ID,Name,Description,ColumnSpec,Nexus_File,Concepticon_ID,Concepticon_Gloss
1,animal_1,,,data,619,ANIMAL
2,animal_2,,,data,619,ANIMAL
3,animal_3,,,data,619,ANIMAL
4,animal_4,,,data,619,ANIMAL
5,animal_5,,,data,619,ANIMAL
6,animal_6,,,data,619,ANIMAL
7,animal_7,,,data,619,ANIMAL
8,animal_8,,,data,619,ANIMAL
9,animal_9,,,data,619,ANIMAL
10,animal_10,,,data,619,ANIMAL
11,animal_11,,,data,619,ANIMAL
12,animal_12,,,data,619,ANIMAL
13,animal_13,,,data,619,ANIMAL
14,animal_14,,,data,619,ANIMAL
15,animal_15,,,data,619,ANIMAL
16,animal_16,,,data,619,ANIMAL
17,animal_17,,,data,619,ANIMAL
18,animal_18,,,data,619,ANIMAL
19,animal_19,,,data,619,ANIMAL
20,animal_20,,,data,619,ANIMAL
21,animal_21,,,data,619,ANIMAL
22,animal_22,,,data,619,ANIMAL
23,animal_23,,,data,619,ANIMAL
24,animal_24,,,data,619,ANIMAL
25,animal_25,,,data,619,ANIMAL
26,animal_26,,,data,619,ANIMAL
27,animal_27,,,data,619,ANIMAL
28,animal_28,,,data,619,ANIMAL
29,animal_29,,,data,619,ANIMAL
30,animal_30,,,data,619,ANIMAL
31,animal_31,,,data,619,ANIMAL
32,animal_32,,,data,619,ANIMAL
33,arm_1,,,data,1673,ARM
34,arm_2,,,data,1673,ARM
35,arm_3,,,data,1673,ARM
36,arm_4,,,data,1673,ARM
37,arm_5,,,data,1673,ARM
38,arm_6,,,data,1673,ARM
39,arm_7,,,data,1673,ARM
40,arm_8,,,data,1673,ARM
41,arm_9,,,data,1673,ARM
42,arm_10,,,data,1673,ARM
43,arm_11,,,data,1673,ARM
44,arm_12,,,data,1673,ARM
45,arm_13,,,data,1673,ARM
46,arm_14,,,data,1673,ARM
47,arm_15,,,data,1673,ARM
48,arm_16,,,data,1673,ARM
49,arm_17,,,data,1673,ARM
50,arm_18,,,data,1673,ARM
51,arm_19,,,data,1673,ARM
52,arm_20,,,data,1673,ARM
53,arm_21,,,data,1673,ARM
54,arm_22,,,data,1673,ARM
55,arm_23,,,data,1673,ARM
56,arm_24,,,data,1673,ARM
57,arm_25,,,data,1673,ARM
58,arm_26,,,data,1673,ARM
59,arm_27,,,data,1673,ARM
60,ashes_1,,,data,646,ASH
61,ashes_2,,,data,646,ASH
62,ashes_3,,,data,646,ASH
63,ashes_4,,,data,646,ASH
64,ashes_5,,,data,646,ASH
65,ashes_6,,,data,646,ASH
66,ashes_7,,,data,646,ASH
67,ashes_8,,,data,646,ASH
68,ashes_9,,,data,646,ASH
69,ashes_10,,,data,646,ASH
70,ashes_11,,,data,646,ASH
71,ashes_12,,,data,646,ASH
72,ashes_13,,,data,646,ASH
73,ashes_14,,,data,646,ASH
74,ashes_15,,,data,646,ASH
75,ashes_16,,,data,646,ASH
76,ashes_17,,,data,646,ASH
77,ashes_18,,,data,646,ASH
78,ashes_19,,,data,646,ASH
79,ashes_20,,,data,646,ASH
80,ashes_21,,,data,646,ASH
81,ashes_22,,,data,646,ASH
82,ashes_23,,,data,646,ASH
83,ashes_24,,,data,646,ASH
84,ashes_25,,,data,646,ASH
85,ashes_26,,,data,646,ASH
86,ashes_27,,,data,646,ASH
87,ashes_28,,,data,646,ASH
88,ashes_29,,,data,646,ASH
89,ashes_30,,,data,646,ASH
90,ashes_31,,,data,646,ASH
91,ashes_32,,,data,646,ASH
92,ashes_33,,,data,646,ASH
93,ashes_34,,,data,646,ASH
94,ashes_35,,,data,646,ASH
95,ashes_36,,,data,646,ASH
96,ashes_37,,,data,646,ASH
97,ashes_38,,,data,646,ASH
98,ashes_39,,,data,646,ASH
99,ashes_40,,,data,646,ASH
100,ashes_41,,,data,646,ASH
101,ashes_42,,,data,646,ASH
102,ashes_43,,,data,646,ASH
103,ashes_44,,,data,646,ASH
104,ashes_45,,,data,646,ASH
105,ashes_46,,,data,646,ASH
106,ashes_47,,,data,646,ASH
107,ashes_48,,,data,646,ASH
108,ashes_49,,,data,646,ASH
109,ashes_50,,,data,646,ASH
110,ashes_51,,,data,646,ASH
111,ashes_52,,,data,646,ASH
112,ashes_53,,,data,646,ASH
113,ashes_54,,,data,646,ASH
114,ashes_55,,,data,646,ASH
115,ashes_56,,,data,646,ASH
116,ashes_57,,,data,646,ASH
117,ashes_58,,,data,646,ASH
118,ashes_59,,,data,646,ASH
119,ashes_60,,,data,646,ASH
120,ashes_61,,,data,646,ASH
121,bark_1,,,data,1204,BARK
122,bark_2,,,data,1204,BARK
123,bark_3,,,data,1204,BARK
124,bark_4,,,data,1204,BARK
125,bark_5,,,data,1204,BARK
126,bark_6,,,data,1204,BARK
127,bark_7,,,data,1204,BARK
128,bark_8,,,data,1204,BARK
129,bark_9,,,data,1204,BARK
130,bark_10,,,data,1204,BARK
131,bark_11,,,data,1204,BARK
132,bark_12,,,data,1204,BARK
133,bark_13,,,data,1204,BARK
134,bark_14,,,data,1204,BARK
135,bark_15,,,data,1204,BARK
136,bark_16,,,data,1204,BARK
137,bark_17,,,data,1204,BARK
138,bark_18,,,data,1204,BARK
139,bark_19,,,data,1204,BARK
140,bark_20,,,data,1204,BARK
141,bark_21,,,data,1204,BARK
142,bark_22,,,data,1204,BARK
143,bark_23,,,data,1204,BARK
144,bark_24,,,data,1204,BARK
145,bark_25,,,data,1204,BARK
146,bark_26,,,data,1204,BARK
147,bark_27,,,data,1204,BARK
148,bark_28,,,data,1204,BARK
149,bark_29,,,data,1204,BARK
150,bark_30,,,data,1204,BARK
151,bark_31,,,data,1204,BARK
152,bark_32,,,data,1204,BARK
153,bark_33,,,data,1204,BARK
154,bark_34,,,data,1204,BARK
155,bark_35,,,data,1204,BARK
156,bark_36,,,data,1204,BARK
157,bark_37,,,data,1204,BARK
158,bark_38,,,data,1204,BARK
159,bark_39,,,data,1204,BARK
160,bark_40,,,data,1204,BARK
161,bark_41,,,data,1204,BARK
162,bark_42,,,data,1204,BARK
163,bark_43,,,data,1204,BARK
164,bark_44,,,data,1204,BARK
165,bark_45,,,data,1204,BARK
166,bark_46,,,data,1204,BARK
167,bark_47,,,data,1204,BARK
168,bark_48,,,data,1204,BARK
169,bark_49,,,data,1204,BARK
170,bark_50,,,data,1204,BARK
171,bark_51,,,data,1204,BARK
172,bark_52,,,data,1204,BARK
